424383,2018/05/12,14:09:18,,,300,306,,,2944,
424383,2018/05/12,14:09:19,,8850,,,,,,
424383,2018/05/12,14:09:20,,8950,302,303,,,2944,
424383,2018/05/12,14:09:21,,8950,,,,,,
424383,2018/05/12,14:09:23,,9100,305,297,56.08409,37.65882,2944,
424383,2018/05/12,14:09:24,,9125,306,294,56.08498,37.65531,2816,
424383,2018/05/12,14:09:25,,9175,,,56.08548,37.65298,,
424303,2018/05/12,14:09:17,,12975,,,55.79169,37.86713,,
424303,2018/05/12,14:09:18,,13025,350,181,55.79027,37.86713,2752,
424303,2018/05/12,14:09:19,AFL1312 ,13050,350,181,,,2688,
424303,2018/05/12,14:09:20,,13075,351,181,55.78748,37.86713,2560,
424303,2018/05/12,14:09:21,,13125,351,181,,,2560,
424303,2018/05/12,14:09:22,,13150,351,181,55.78510,37.86704,2496,
424303,2018/05/12,14:09:23,,,352,181,,,2432,
424303,2018/05/12,14:09:24,AFL1312 ,13250,352,181,55.78162,37.86704,2368,
424303,2018/05/12,14:09:25,,13275,352,181,55.77914,37.86704,2304,
424303,2018/05/12,14:09:26,,13325,353,181,55.77704,37.86704,2240,
