4D2021,2018/05/12,03:17:28,,3900,272,262,55.83299,37.24082,-704,
4D2021,2018/05/12,03:17:35,,3775,,,55.83183,37.22659,,
4D2021,2018/05/12,03:17:36,,3750,268,263,55.83159,37.22408,-1216,
4D2021,2018/05/12,03:17:37,,,268,263,,,-1216,
4243ED,2018/05/12,03:17:28,,12400,372,254,56.06900,37.38764,2176,
4243ED,2018/05/12,03:17:29,,12425,373,254,56.06849,37.38459,2112,
4243ED,2018/05/12,03:17:33,,12550,,,56.06677,37.37274,,
4243ED,2018/05/12,03:17:34,,12575,,,,,,
4D2021,2018/05/12,03:17:38,,3725,267,264,55.83133,37.22035,-1280,
4D2021,2018/05/12,03:17:39,,3700,268,265,55.83140,37.21816,-1344,
4D2021,2018/05/12,03:17:40,,3650,267,266,55.83087,37.21427,-1408,
4D2021,2018/05/12,03:17:41,,3625,267,267,55.83092,37.21311,-1472,
4D2021,2018/05/12,03:17:42,,3600,267,269,55.83094,37.20984,-1472,
4D2021,2018/05/12,03:17:43,,3575,266,271,55.83092,37.20770,-1536,
4D2021,2018/05/12,03:17:44,AMC560  ,3550,266,272,55.83119,37.20528,-1536,
4D2021,2018/05/12,03:17:45,,3525,265,274,55.83112,37.20331,-1472,
4D2021,2018/05/12,03:17:46,,3525,264,276,55.83115,37.20212,-1344,
4D2021,2018/05/12,03:17:47,,3500,264,278,55.83119,37.19996,-1152,
4243ED,2018/05/12,03:17:39,,12775,378,254,56.06351,37.35489,2176,
4243ED,2018/05/12,03:17:40,,12800,378,254,56.06296,37.35185,2240,
4243ED,2018/05/12,03:17:41,,12850,,,56.06272,37.34897,,
4243ED,2018/05/12,03:17:42,,12875,,,56.06200,37.34578,,
4D2021,2018/05/12,03:17:51,,3400,260,286,55.83238,37.19061,-1152,
4D2021,2018/05/12,03:17:52,,3400,258,288,55.83284,37.18830,-1152,
4D2021,2018/05/12,03:17:53,,3375,258,288,55.83298,37.18756,-1152,
4D2021,2018/05/12,03:17:54,AMC560  ,3375,256,292,55.83348,37.18564,-1088,
4D2021,2018/05/12,03:17:55,,3325,255,295,55.83406,37.18288,-1088,
4D2021,2018/05/12,03:17:56,,3325,255,295,,,-1088,
4242BE,2018/05/12,03:17:48,,2375,,,,,,
4242BE,2018/05/12,03:17:51,,2375,,,,,,
4242BE,2018/05/12,03:17:55,,2325,,,,,,
4242BE,2018/05/12,03:17:56,,2325,,,55.94127,37.21464,,
4D2021,2018/05/12,03:17:58,,3300,251,301,,,-1024,
4D2021,2018/05/12,03:17:59,AMC560  ,3275,249,304,55.83636,37.17582,-1024,
4D2021,2018/05/12,03:18:00,,3250,248,306,55.83696,37.17432,-1024,
4D2021,2018/05/12,03:18:01,,3225,247,308,55.83769,37.17276,-1024,
4D2021,2018/05/12,03:18:02,,3225,245,311,55.83843,37.17104,-1024,
4D2021,2018/05/12,03:18:03,,3200,244,313,55.83908,37.16958,-960,
4D2021,2018/05/12,03:18:04,AMC560  ,3175,242,316,55.83984,37.16850,-960,
4D2021,2018/05/12,03:18:05,,3175,241,318,55.84090,37.16701,-960,
4D2021,2018/05/12,03:18:06,,3150,239,320,55.84169,37.16555,-896,
4D2021,2018/05/12,03:18:07,,3150,238,322,55.84222,37.16450,-896,
4D2021,2018/05/12,03:18:08,,3125,237,325,55.84355,37.16314,-896,
4D2021,2018/05/12,03:18:09,AMC560  ,3100,235,327,55.84447,37.16217,-832,
4D2021,2018/05/12,03:18:10,,3100,234,329,55.84520,37.16117,-832,
4D2021,2018/05/12,03:18:11,,3075,233,331,55.84602,37.16009,-832,
4D2021,2018/05/12,03:18:12,,3075,232,333,55.84717,37.15926,-832,
4D2021,2018/05/12,03:18:13,,3050,232,333,55.84790,37.15884,-832,
4D2021,2018/05/12,03:18:16,,3025,227,340,55.85110,37.15634,-832,
4D2021,2018/05/12,03:18:17,,3000,,,,,,
4D2021,2018/05/12,03:18:18,,2975,226,344,55.85294,37.15518,-832,
4D2021,2018/05/12,03:18:19,AMC560  ,2975,225,346,55.85339,37.15501,-832,
4D2021,2018/05/12,03:18:21,,2950,223,349,55.85556,37.15413,-832,
4D2021,2018/05/12,03:18:22,,2925,,,,,,
4D2021,2018/05/12,03:18:28,,2850,218,1,55.86310,37.15310,-768,
4D2021,2018/05/12,03:18:29,,2850,217,2,55.86362,37.15310,-704,
4D2021,2018/05/12,03:18:30,,2825,,,,,,
4D2021,2018/05/12,03:18:32,,,216,4,,,-448,
4D2021,2018/05/12,03:18:35,,2775,215,5,55.86981,37.15370,-512,
4D2021,2018/05/12,03:18:36,,2775,,,55.87056,37.15401,,
4D2021,2018/05/12,03:18:38,,2725,215,5,55.87340,37.15435,-704,
4D2021,2018/05/12,03:18:39,AMC560  ,,215,5,,,-704,
4D2021,2018/05/12,03:18:42,,2700,212,5,55.87698,37.15508,-704,
4D2021,2018/05/12,03:18:43,,2675,212,5,55.87793,37.15518,-704,
4D2021,2018/05/12,03:18:44,AMC560  ,2675,211,5,55.87875,37.15533,-640,
4D2021,2018/05/12,03:18:45,,2650,210,5,55.87972,37.15550,-640,
4D2021,2018/05/12,03:18:46,,,209,5,,,-640,
4D2021,2018/05/12,03:18:49,,,208,4,,,-576,
4D2021,2018/05/12,03:18:50,,2600,,,55.88434,37.15626,,
4D2021,2018/05/12,03:19:09,,2450,,,55.90182,37.15884,,
4B9686,2018/05/12,03:19:08,,10175,262,0,55.63607,37.35463,-1088,
4B9686,2018/05/12,03:19:09,,10175,262,0,,,-1152,
4B9686,2018/05/12,03:19:10,,10125,,,,,,
4B9686,2018/05/12,03:19:11,,10125,261,0,55.63947,37.35455,-1216,
4B9686,2018/05/12,03:19:12,,10100,261,0,,,-1216,
4B9686,2018/05/12,03:19:14,,10050,,,55.64310,37.35443,,
4B9686,2018/05/12,03:19:17,,9975,,,55.64740,37.35435,,
4D2021,2018/05/12,03:19:21,,2425,184,5,55.91278,37.16083,-64,
4D2021,2018/05/12,03:19:23,,,183,5,,,-64,
4D2021,2018/05/12,03:19:24,AMC560  ,2425,183,5,55.91524,37.16092,-64,
4D2021,2018/05/12,03:19:25,,2425,182,5,55.91566,37.16108,-64,
4D2021,2018/05/12,03:19:26,,2425,182,5,55.91693,37.16150,-64,
4B9686,2018/05/12,03:19:19,,9950,,,55.64957,37.35429,,
4B9686,2018/05/12,03:19:20,,9925,259,0,55.65050,37.35429,-1344,
4B9686,2018/05/12,03:19:21,,9900,,,,,,
4B9686,2018/05/12,03:19:28,KKK6905 ,,,,,,,
4B9686,2018/05/12,03:19:29,,9700,258,0,55.66127,37.35418,-1600,
4B9686,2018/05/12,03:19:30,,9675,258,0,55.66246,37.35420,-1600,
4B9686,2018/05/12,03:19:31,,9650,258,0,55.66319,37.35418,-1600,
4B9686,2018/05/12,03:19:37,,9475,,,55.67079,37.35418,,
4B9686,2018/05/12,03:19:37,,9475,,,55.67130,37.35418,,
4B9686,2018/05/12,03:19:41,,9375,258,0,55.67582,37.35420,-1472,
4B9686,2018/05/12,03:19:42,KKK6905 ,9350,258,0,55.67676,37.35420,-1408,
4B9686,2018/05/12,03:19:43,,9325,258,0,55.67793,37.35418,-1408,
4B9686,2018/05/12,03:19:44,,9300,,,55.67889,37.35418,,
4B9686,2018/05/12,03:19:45,,9300,257,0,55.68031,37.35418,-1344,
4B9686,2018/05/12,03:19:46,,9250,257,0,55.68197,37.35412,-1344,
4D2021,2018/05/12,03:19:57,,2425,,,55.93433,37.18340,,
4B9686,2018/05/12,03:19:48,,9225,256,0,55.68388,37.35412,-1152,
4B9686,2018/05/12,03:19:49,,9200,,,55.68507,37.35418,,
4B9686,2018/05/12,03:19:51,,9175,256,0,,,-1024,
4B9686,2018/05/12,03:19:58,,9100,,,55.69588,37.35402,,
4B9686,2018/05/12,03:19:59,,9100,253,0,55.69705,37.35403,-512,
4B9686,2018/05/12,03:20:00,,,253,0,,,-576,
4B9686,2018/05/12,03:20:01,,9075,253,0,,,-576,
4B9686,2018/05/12,03:20:02,,9050,,,55.70031,37.35394,,
4B9686,2018/05/12,03:20:03,,9050,253,0,55.70146,37.35393,-576,
4B9686,2018/05/12,03:20:04,,,253,0,,,-576,
4B9686,2018/05/12,03:20:06,,9025,,,55.70425,37.35385,,
4B9686,2018/05/12,03:20:07,,9000,254,0,55.70663,37.35377,-576,
4B9686,2018/05/12,03:20:08,KKK6905 ,9000,254,0,,,-640,
4B9686,2018/05/12,03:20:09,,9000,254,0,55.70851,37.35368,-704,
4B9686,2018/05/12,03:20:10,,8975,254,0,55.70943,37.35368,-704,
4B9686,2018/05/12,03:20:11,,8950,255,0,55.71106,37.35360,-832,
4B9686,2018/05/12,03:20:13,,,255,0,,,-960,
4B9686,2018/05/12,03:20:15,,,256,0,,,-1024,
4B9686,2018/05/12,03:20:17,,,256,0,,,-1088,
4D2021,2018/05/12,03:20:18,,2400,137,71,55.93932,37.20545,-320,
4D2021,2018/05/12,03:20:19,,2375,,,55.93959,37.20657,,
